orbital_period,transit_duration,transit_depth,planet_radius,snr,semi_major_axis,stellar_density,equilibrium_temp,inclination,stellar_radius,stellar_mass,impact_parameter,koi_disposition
9.76734503,1.6585,569.1,2.67,21.1,0.0881,2.17446,791.0,87.68,0.927,0.956,0.9,CONFIRMED
119.0207044,8.1405,7430.5,8.98,223.5,0.4582,2.31024,366.0,89.96,1.062,0.904,0.076,CANDIDATE
190.3200468,15.284,1141.7,7.78,139.3,0.6972,0.11866,426.0,89.24,2.057,1.247,0.812,CONFIRMED
2.861159894,1.8832,1014.3,4.37,58.3,0.0406,0.22208,1355.0,77.84,1.021,1.09,0.965,FALSE POSITIVE
26.44439337,3.9783,1843.5,3.91,88.0,0.1687,3.96328,562.0,89.97,0.929,0.915,0.03,CONFIRMED
51.53997972,6.3994,3644.3,5.51,155.5,0.2632,1.85679,450.0,89.84,0.929,0.915,0.183,CONFIRMED
5.902245782,2.9003,702.3,2.43,59.3,0.0621,2.05923,926.0,89.23,0.929,0.915,0.209,CONFIRMED
2.382951591,1.8876,391.6,1.86,41.4,0.0339,2.19197,1253.0,86.85,0.929,0.915,0.479,CONFIRMED
21.02250608,4.1072,1772.5,3.07,62.4,0.1378,2.85327,521.0,89.95,0.75,0.789,0.036,CONFIRMED
3.219814777,2.0642,488.2,1.69,30.5,0.04,3.26825,998.0,89.72,0.787,0.823,0.06,CONFIRMED
5.912273234,2.3254,961.4,1.73,62.8,0.0537,4.13623,585.0,89.51,0.57,0.586,0.17,CONFIRMED
8.98581901,2.8606,881.3,1.65,51.8,0.0709,3.50489,509.0,89.98,0.57,0.586,0.008,CONFIRMED
12.940668656,2.4845,42450.0,22.94,307.5,0.1039,4.93266,723.0,88.54,0.809,0.895,0.897,CANDIDATE
20.5452375,2.517,218.5,2.41,18.5,0.1437,0.52476,742.0,87.6,1.264,0.937,0.95,FALSE POSITIVE
33.60123371,4.4056,7425.9,8.46,247.9,0.1956,2.04292,495.0,89.23,0.93,0.882,0.67,CONFIRMED
6.76652928,2.9004,450.7,1.97,29.2,0.0672,1.85399,845.0,88.51,0.93,0.882,0.429,CONFIRMED
4.347288783,2.1024,451.6,2.36,39.7,0.0524,4.18264,1174.0,89.91,1.122,1.014,0.025,CONFIRMED
4.601811819,2.2607,755.9,2.35,60.8,0.0501,2.109,896.0,87.56,0.833,0.793,0.567,CONFIRMED
11.18719905,3.252,353.6,1.55,21.9,0.0907,2.28406,667.0,89.1,0.833,0.793,0.387,CONFIRMED
4.220965778,3.0854,2260.0,2.62,157.8,0.0418,0.5702,595.0,85.03,0.517,0.544,0.705,CONFIRMED
6.998099523,2.0488,20285.0,588.66,192.3,0.0698,22.19119,853.0,79.0,0.829,0.926,7.361,FALSE POSITIVE
5.95489993,2.3892,1410.7,2.33,87.2,0.0554,3.48052,635.0,89.0,0.633,0.64,0.327,CONFIRMED
12.03987488,2.7363,1250.6,2.18,57.6,0.0886,4.82896,502.0,89.51,0.633,0.64,0.286,CONFIRMED
20.83762895,2.3734,439.0,1.42,14.9,0.1278,5.25789,418.0,89.18,0.633,0.64,0.706,CONFIRMED
8.8111022,5.0683,401.1,63.66,76.8,0.0919,0.00762,1399.0,67.15,2.404,1.333,1.223,FALSE POSITIVE
23.58917143,5.073,1200.7,3.16,53.3,0.1429,0.16337,487.0,86.86,0.721,0.697,0.926,CONFIRMED
6.481633073,3.784,298.5,2.54,125.6,0.0683,0.20633,1145.0,83.8,1.302,1.009,0.833,CONFIRMED
10.37168928,3.035,1254.9,3.2,64.5,0.0873,2.15323,720.0,88.66,0.888,0.822,0.537,CONFIRMED
3.96996298,1.1757,299.2,1.78,15.0,0.046,4.07984,992.0,86.81,0.888,0.822,0.836,CONFIRMED
4.40841331,5.012,549.4,2.66,45.1,0.052,0.03994,1139.0,74.9,0.961,0.968,0.899,CONFIRMED
7.9426176,6.703,1590.7,4.68,60.4,0.0789,0.02282,878.0,77.16,0.926,1.036,0.942,FALSE POSITIVE
226.8904775,7.558,3136.4,4.53,46.8,0.6732,1.95932,236.0,89.76,0.75,0.789,0.731,CONFIRMED
1.956811408,2.1958,24905.0,21.58,125.4,0.0259,0.72779,1109.0,78.08,0.603,0.602,1.091,FALSE POSITIVE
2.688899233,2.11275,37492.0,12.04,1011.6,0.0335,3.89722,929.0,90.0,0.639,0.699,0.001,CANDIDATE
